uid,entertainment,education,dining,park,shopping,metro_station,library,bank,atm,creditunion
7303,3,13,20,13,0,0,2,7,1,5
7301,8,24,22,13,2,0,2,17,2,12
7309,2,12,17,13,0,0,2,9,1,7
7045,37,50,50,25,8,6,12,50,46,50
7044,23,50,50,29,10,4,14,50,25,50
7047,37,50,50,22,11,5,31,50,32,50
7041,50,50,50,28,12,7,14,50,39,50
7040,9,41,36,24,0,2,4,16,3,12
7128,32,50,48,21,5,3,11,50,13,35
7129,33,50,38,21,4,5,12,38,10,27
7126,36,50,50,27,5,4,17,50,17,43
7124,8,50,33,17,0,0,2,12,2,9
7048,38,50,50,33,8,4,11,50,42,50
7120,9,50,32,15,0,0,3,19,4,15
7121,43,50,50,24,9,2,11,50,37,50
7346,5,48,35,18,0,0,4,14,2,11
7347,5,30,26,14,2,0,1,19,2,14
7342,6,31,26,12,0,0,3,13,3,9
7343,7,30,32,11,0,0,4,6,0,5
7340,2,41,33,18,0,2,3,16,0,16
7341,5,25,24,10,0,0,2,11,2,7
7349,0,23,12,7,0,0,3,8,1,5
7269,50,50,50,29,13,6,12,50,45,50
7268,41,50,50,24,10,5,11,50,36,50
7265,17,38,27,12,1,3,1,15,2,10
7267,24,50,50,19,7,1,9,50,26,50
7266,0,30,13,4,2,1,0,9,1,7
7262,2,34,27,9,0,0,3,18,4,10
7379,6,50,27,11,3,1,2,29,5,21
7378,2,38,21,9,1,0,2,20,3,14
7000,41,50,46,31,2,0,5,50,16,33
7003,28,50,32,24,2,3,29,33,12,20
7002,28,50,29,25,4,3,32,49,16,33
7005,50,50,50,32,10,6,12,50,50,50
7004,36,50,50,20,13,4,27,50,37,50
7007,30,50,28,18,6,2,30,48,12,50
7279,5,50,21,7,2,2,3,28,5,20
7175,9,35,41,27,4,0,4,50,17,50
7174,16,38,27,13,0,3,1,16,2,11
7176,24,50,43,26,2,0,2,42,11,28
7171,15,4,8,14,1,0,0,8,1,6
7170,16,50,45,25,2,4,32,43,10,31
7173,13,30,20,10,0,0,4,12,3,9
7178,16,35,30,14,0,3,1,17,2,12
7078,31,50,36,16,5,0,25,50,12,42
7079,21,50,50,27,8,4,14,50,27,50
7075,10,15,31,26,1,0,2,28,9,18
7076,10,28,50,23,5,2,3,50,23,50
7077,28,50,50,26,9,4,18,50,28,50
7070,33,50,50,29,8,4,7,50,41,50
7071,15,50,43,23,3,2,6,50,17,35
7073,44,43,40,29,3,0,6,41,18,43
7188,35,16,40,17,2,0,0,29,11,18
7189,50,50,50,13,6,0,15,50,14,41
7180,22,48,41,17,2,3,1,16,2,12
7181,22,50,49,17,2,3,1,18,2,14
7182,23,50,43,14,2,2,1,22,2,17
7183,26,47,43,14,2,2,0,18,2,13
7184,18,50,41,14,0,0,1,38,7,30
7221,5,22,15,12,0,0,1,8,1,5
7220,2,3,0,7,0,0,0,6,2,6
7223,8,29,18,14,0,1,0,13,2,8
7222,7,5,6,9,0,0,1,5,0,4
7225,2,3,0,7,0,0,0,6,2,6
7224,5,18,14,11,0,0,1,8,1,5
7227,5,11,9,6,1,0,0,4,2,1
7226,10,14,17,9,2,0,1,10,1,6
7229,20,43,25,13,0,3,1,20,2,14
7380,6,50,46,11,1,0,3,37,5,26
7386,50,50,50,18,13,5,29,50,31,50
7387,1,45,34,9,0,2,4,29,2,22
7384,38,50,40,31,5,4,29,50,17,43
7385,40,50,50,30,8,4,20,50,24,50
7122,34,50,50,27,1,0,2,44,14,26
7123,49,50,50,26,7,0,8,49,24,44
7257,50,50,50,24,16,5,26,50,41,50
7252,13,50,39,24,1,3,26,33,7,22
7253,50,50,50,36,9,4,13,50,46,50
7315,3,38,16,9,0,0,2,9,0,8
7314,3,15,13,12,0,0,2,12,2,9
7317,3,28,12,9,0,0,1,7,0,6
7316,3,34,18,9,0,0,1,10,0,9
7259,20,31,26,29,3,0,4,37,17,37
7313,1,6,10,12,0,0,0,7,0,6
7312,5,42,25,12,0,0,5,19,4,13
7032,50,45,50,13,6,0,13,50,13,47
7035,41,38,50,24,2,0,0,42,12,28
7036,28,50,50,15,1,0,2,31,10,23
7038,50,50,50,29,11,6,13,50,41,50
7132,26,50,50,26,1,3,19,29,8,20
7137,7,44,29,14,0,0,2,11,3,5
7136,21,27,35,15,2,0,2,12,4,7
7148,42,30,50,20,3,0,2,28,11,17
7149,11,41,35,17,0,0,3,10,2,5
7144,8,50,43,17,0,1,4,10,2,6
7146,2,32,32,11,0,0,3,20,4,12
7147,40,28,50,17,3,0,2,31,11,17
7140,9,46,19,22,0,2,2,7,1,4
7141,5,50,20,17,0,1,3,4,0,3
7142,7,33,18,14,0,1,2,6,1,3
7143,11,45,38,25,0,3,9,15,2,11
7351,2,36,23,10,0,2,0,16,3,9
7350,1,34,27,9,0,2,3,21,3,12
7353,1,50,42,10,0,3,4,29,2,22
7352,0,32,14,8,0,0,5,9,1,6
7355,1,25,11,6,0,1,1,23,4,15
7357,4,22,15,11,0,0,2,7,1,4
7356,31,50,50,21,1,0,4,50,16,42
7359,0,15,0,12,0,0,0,2,0,2
7210,40,35,50,16,2,0,2,19,3,15
7217,50,46,50,24,8,3,12,50,36,50
7326,10,24,19,12,2,0,2,18,2,13
7320,50,50,50,35,8,4,8,50,45,50
7321,48,50,50,35,8,4,9,50,45,50
7323,50,50,50,26,7,2,8,50,26,50
7150,20,46,49,10,1,2,1,23,4,18
7328,31,50,36,20,4,3,7,36,10,25
7329,43,40,50,19,3,0,0,45,11,31
7368,40,41,48,13,0,0,1,31,5,24
7369,7,25,20,14,1,0,1,8,1,6
7100,13,50,38,15,0,0,4,24,6,17
7101,32,50,47,15,2,1,4,43,21,46
7102,50,50,50,27,11,5,13,50,50,50
7103,7,38,35,13,0,0,4,13,2,10
7105,28,50,41,17,1,0,4,35,11,28
7106,24,39,32,11,1,0,2,19,6,15
7107,22,43,37,14,1,0,2,21,7,15
7108,27,50,41,17,1,0,2,28,9,22
7069,50,45,50,19,8,3,14,50,28,50
7067,34,50,50,31,6,3,5,50,36,50
7066,20,50,36,20,3,3,34,38,9,39
7065,17,50,36,14,0,0,3,41,12,31
7064,29,50,50,17,1,0,4,39,12,30
7063,37,50,35,31,4,7,36,50,19,42
7366,24,50,39,26,2,0,2,41,11,27
7367,45,43,50,17,1,0,2,36,10,23
7199,18,39,46,13,3,0,9,40,6,31
7198,35,28,39,14,1,0,2,15,5,9
7193,47,43,50,16,2,0,2,38,11,24
7192,8,43,35,17,1,0,4,29,6,22
7191,7,50,43,21,2,3,24,37,7,27
7196,6,47,28,13,0,0,4,27,5,22
7195,17,49,50,20,2,1,19,42,7,32
7194,1,27,22,4,0,2,4,15,3,12
7392,2,42,24,14,0,1,2,16,4,11
7083,0,36,21,14,1,0,1,12,4,8
7441,8,35,18,12,0,1,2,10,3,6
7086,4,19,16,11,0,0,1,9,1,6
7388,2,34,23,11,0,2,0,15,3,8
7089,19,50,50,26,9,3,14,50,23,50
7389,38,50,50,28,9,5,17,50,29,50
7088,3,50,25,13,0,2,2,16,2,13
7383,32,50,50,28,6,3,3,50,33,50
7247,23,46,31,14,1,3,1,21,2,15
7246,42,50,46,30,5,4,21,50,21,48
7244,15,15,18,10,3,0,0,12,4,7
7242,15,8,7,5,1,0,0,4,0,4
7240,7,50,33,12,0,0,4,23,6,16
7360,13,50,43,15,1,0,2,39,7,31
7361,4,29,31,9,0,0,2,21,4,13
7362,4,28,29,8,0,0,2,21,4,13
7364,1,23,11,3,0,0,0,6,1,5
7365,2,24,13,13,0,0,1,13,0,12
7249,37,45,43,13,0,0,1,37,6,29
7248,50,50,50,13,8,2,20,50,17,50
7432,48,50,50,20,4,1,5,50,28,50
7023,15,50,43,14,4,0,17,50,11,43
7020,50,50,50,20,9,3,16,50,25,50
7027,50,50,50,18,9,4,21,50,32,49
7026,40,50,50,27,10,3,32,50,28,50
7028,37,50,50,27,10,2,11,50,33,50
7097,2,41,26,13,0,2,1,18,3,10
7095,2,36,25,9,0,2,1,23,3,16
7092,1,47,40,13,0,3,2,25,2,19
7093,1,47,40,12,0,4,2,26,3,19
7090,0,47,30,11,0,3,1,11,2,9
7158,41,42,50,20,3,0,2,39,13,21
7155,8,50,34,26,0,3,14,24,5,18
7154,8,49,45,25,0,3,6,17,5,12
7153,9,45,34,15,0,0,4,19,5,13
7152,6,47,30,10,0,0,2,21,4,17
7151,11,50,35,20,0,0,3,12,3,6
7296,8,41,27,13,1,0,1,14,3,10
7297,19,49,47,10,1,2,2,25,4,20
7298,47,45,49,23,3,0,4,50,17,42
7299,28,50,50,16,1,0,4,38,12,27
7209,36,45,39,13,0,0,1,38,6,29
7208,12,39,29,13,1,0,4,36,5,29
7207,39,46,47,15,1,0,2,47,11,32
7206,36,50,48,16,3,0,2,40,5,31
7205,22,48,50,12,1,0,2,30,5,23
7204,16,43,26,12,1,0,1,34,5,27
7337,6,44,32,16,0,0,2,8,1,6
7336,6,24,23,14,0,0,2,9,1,6
7334,50,50,50,34,8,5,12,50,50,50
7331,0,16,7,7,0,0,3,9,2,7
7339,2,45,44,14,0,4,1,24,2,19
7338,2,43,37,13,0,2,2,27,2,21
7112,31,24,47,20,3,0,2,26,10,15
7111,43,28,50,21,2,0,0,33,11,22
7110,30,40,40,19,1,0,5,44,16,43
7115,14,50,40,22,3,3,9,38,9,25
7114,7,50,29,14,0,0,4,26,8,17
7119,3,50,24,13,0,0,4,17,3,13
