uid,entertainment,education,dining,park,shopping,metro_station,library,financial
7303,7,6,48,8,36,0,1,2
7301,2,8,46,4,55,0,2,5
7309,7,5,42,8,37,0,1,1
7045,72,88,434,29,392,9,11,128
7044,34,58,369,22,331,3,12,62
7047,59,89,495,31,451,5,21,109
7041,69,87,473,32,418,5,13,114
7040,19,28,179,6,104,1,3,15
7128,64,116,193,16,306,0,8,47
7129,64,121,198,16,306,0,9,42
7126,70,116,228,21,325,0,13,52
7124,8,17,67,19,65,0,2,10
7048,83,69,389,35,327,6,8,122
7120,7,16,77,11,70,0,3,9
7121,54,77,393,28,400,3,9,96
7346,5,14,82,14,72,0,3,15
7347,3,8,48,3,61,0,1,6
7342,8,13,76,10,63,0,2,6
7343,7,11,83,6,71,0,2,6
7340,4,12,74,7,74,1,2,13
7341,6,11,51,12,52,0,1,6
7349,2,6,19,3,16,0,1,2
7269,79,96,492,32,425,5,11,136
7268,63,88,454,30,400,5,11,112
7265,4,7,49,3,64,0,1,5
7267,48,70,319,33,366,3,7,70
7266,2,6,18,1,30,0,1,5
7262,3,9,44,6,41,1,2,5
7379,3,17,30,2,39,1,1,12
7378,2,33,65,3,55,2,1,12
7000,46,16,290,21,163,1,2,48
7003,70,128,181,12,246,0,15,35
7002,68,134,197,13,276,0,16,42
7005,96,82,530,33,421,8,8,138
7004,64,92,562,26,487,5,19,124
7007,27,50,377,14,212,2,17,46
7279,3,17,33,3,39,0,1,9
7175,41,12,195,21,82,4,1,27
7174,4,11,49,3,71,0,1,4
7176,31,13,239,21,152,1,1,28
7171,19,4,39,7,29,0,1,5
7170,27,64,343,12,226,0,17,34
7173,7,13,52,4,64,0,3,3
7178,4,14,54,1,73,0,1,5
7078,26,43,376,13,240,0,15,30
7079,50,68,359,29,383,5,12,75
7075,27,11,139,20,47,0,2,16
7076,54,27,240,18,116,4,2,68
7077,55,77,360,34,343,5,16,81
7070,73,55,369,27,219,4,5,105
7071,20,34,189,17,162,1,5,34
7073,50,23,316,20,172,3,2,62
7188,24,11,96,7,93,0,0,7
7189,28,38,463,12,334,0,8,43
7180,4,11,66,5,110,0,2,6
7181,7,16,75,2,118,0,3,7
7182,4,12,65,3,115,0,2,5
7183,6,12,73,2,120,0,3,6
7184,17,12,166,4,123,1,2,9
7221,3,9,23,2,27,0,4,3
7220,1,0,2,10,2,0,0,0
7223,3,8,31,2,45,0,1,3
7222,4,5,16,9,23,0,3,1
7225,1,0,3,8,4,0,0,0
7224,3,9,21,3,26,0,1,3
7227,14,6,37,1,44,0,0,2
7226,4,4,34,7,50,0,2,2
7229,5,12,45,1,71,0,2,5
7380,10,27,105,5,112,1,3,23
7386,60,86,602,30,477,5,16,128
7387,11,9,90,3,80,1,2,6
7384,73,122,241,22,324,0,14,54
7385,73,121,249,25,339,1,15,61
7122,25,15,233,18,209,0,1,26
7123,59,27,386,27,252,2,4,58
7257,72,96,600,27,512,6,15,144
7252,72,126,190,10,199,0,15,33
7253,83,62,567,34,465,6,8,136
7315,2,8,32,4,47,0,1,4
7314,7,6,42,8,38,0,1,1
7317,2,7,22,3,31,0,1,3
7316,2,9,33,4,45,0,1,6
7259,41,17,237,21,105,4,2,45
7313,7,1,20,7,12,0,0,1
7312,12,15,72,9,73,0,4,7
7032,33,43,502,13,344,0,7,49
7035,15,17,170,6,171,0,0,9
7036,18,16,80,15,97,0,2,10
7038,69,93,493,32,410,5,13,130
7132,71,116,173,9,192,0,10,33
7137,7,15,48,8,42,1,3,4
7136,10,8,72,5,93,0,2,2
7148,19,12,120,4,111,0,1,7
7149,19,16,105,6,82,0,2,7
7144,17,21,121,6,82,0,4,10
7146,3,9,45,6,43,1,2,6
7147,15,10,114,4,112,0,1,7
7140,58,101,67,9,124,1,3,22
7141,7,24,53,8,46,1,3,6
7142,11,22,83,5,65,0,2,8
7143,68,104,150,7,148,0,8,30
7351,9,8,63,5,45,0,0,2
7350,9,8,71,3,57,0,2,4
7353,10,12,90,4,81,1,2,9
7352,2,5,29,1,20,0,2,3
7355,3,3,24,0,23,0,1,5
7357,6,7,41,7,37,0,1,2
7356,32,33,141,19,127,0,2,18
7359,0,3,8,4,11,0,0,0
7210,13,10,120,4,146,0,1,4
7217,73,71,629,29,365,6,10,114
7326,2,8,45,4,53,0,3,3
7320,88,69,425,34,360,5,8,123
7321,88,68,418,34,359,5,8,127
7323,64,34,448,27,286,2,8,79
7150,11,10,99,2,118,1,1,6
7328,56,106,146,10,267,0,5,38
7329,13,17,203,9,184,0,1,11
7368,14,8,158,4,161,0,2,7
7369,3,5,43,5,52,0,2,3
7100,11,25,100,12,97,0,3,12
7101,48,35,180,21,172,0,2,37
7102,86,76,662,28,512,8,8,143
7103,7,14,94,14,76,0,3,12
7105,23,23,117,13,123,0,3,13
7106,15,8,60,15,68,0,1,9
7107,17,8,58,12,68,0,1,4
7108,17,16,72,14,87,0,2,11
7069,73,58,612,27,345,4,9,94
7067,55,50,265,23,182,3,5,95
7066,28,75,393,12,274,1,19,51
7065,14,33,115,13,133,0,4,14
7064,25,19,108,16,105,0,2,12
7063,70,138,254,23,323,1,19,59
7366,29,13,231,21,145,1,1,27
7367,14,11,156,3,152,0,1,6
7199,21,33,345,10,206,0,8,29
7198,16,8,108,4,121,0,1,3
7193,14,10,152,3,148,0,1,6
7192,23,25,212,6,129,1,5,17
7191,23,48,306,8,166,0,12,23
7196,17,16,146,6,110,1,3,13
