name,full_address,rate,reviews
Zeal Burgers,"1926 Weston Road,Toronto, ON M9N 1W2,Canada",5.0,139
Tour Guys Toronto,"Toronto, ON M5A 4M3,Canada",5.0,54
Gurume Sushi,"45 Carlton Street,unit 5,Toronto, ON M5B 2H9,Canada",5.0,41
Hawker,"291 Augusta Ave,Toronto, ON M5T 1N9,Canada",5.0,34
Plan B,"2943A Bloor Street W,Toronto, ON M8X 1B3,Canada",5.0,30
Casamiento,"787 Dupont Street,Toronto, ON M6G 1Z5,Canada",5.0,25
Jjin Toast,"792 Bathurst Street,Toronto, ON M5R 3G1,Canada",5.0,24
Culinary Adventure,"Toronto, ON M4B,Canada",5.0,21
Chopsticks+Forks,"Toronto, ON,Canada",5.0,18
Castle & Coal,"108 Dovercourt Road,Toronto, ON M6J 1H8,Canada",5.0,18
Yuzuki Fish Market,"119 Spadina Avenue,Suite 101,Toronto, ON M5V,Canada",5.0,16
Maison T,"1071 Shaw St,Toronto, ON M6G 3N4,Canada",5.0,13
Savour Toronto,"Toronto, ON,Canada",5.0,13
Tasty Korea,"3323 Lake Shore Boulevard W,Toronto, ON M8W 1M8,Canada",5.0,13
Papamio's,"934 Manning Avenue,Toronto, ON M6G 2X4,Canada",5.0,12
Dil Se Indian Restaurant & Bar,"335 Roncesvalles Avenue,Toronto, ON M6R 2M8,Canada",5.0,12
Tadka - Sizzling Indian Spices,"666 The Queensway,Toronto, ON M8Y 1K7,Canada",5.0,12
Ohiru Cafe,"370 College Street,Toronto, ON M5T 1S6,Canada",5.0,11
Good Cheese,"614 Gerrard Street E,Toronto, ON M4M 1Y3,Canada",5.0,11
Morellina’s,"146 Christie Street,Toronto, ON M6G 3B4,Canada",5.0,10
Adda,"3342 Danforth Avenue,Unit 1,Toronto, ON M1L 1C8,Canada",5.0,10
Selam Vegan,"812B Bloor Street W,Toronto, ON M6G 1L9,Canada",5.0,9
Brasa Peruvian Kitchen,"297 Campbell Avenue,Toronto, ON M6P 3V7,Canada",5.0,8
Fattoush,"253 Gerrard Street E,Toronto, ON M5A 2E8,Canada",5.0,8
Heavenly Perogy,"400 Bathurst Street,Toronto, ON M5T 2S6,Canada",5.0,8
Dish Cooking Studio,"587 College Street,Toronto, ON M6G 1B2,Canada",5.0,8
Sora Ethiopian Restaurant,"1383 Danforth Avenue,Toronto, ON M4J 1M9,Canada",5.0,8
Your Gelato,"3184 Yonge St,Toronto, ON M4N 2L1,Canada",5.0,8
Momo Ghar,"568 Parliament St,Toronto, ON M4X 1P6,Canada",5.0,7
City Gourmet,"Toronto, ON M4B 1B5,Canada",5.0,7
Adobar,"200 Dundas St E,Toronto, ON M5A 1Z4,Canada",5.0,5
George Brown College,"300 Adelaide Street E,Toronto, ON M5A 1N1,Canada",5.0,5
Kingyo Fisherman's Market,"51B Winchester Street,Toronto, ON M4X 1A8,Canada",5.0,5
Le Conciliabule Lab,"350 Berkeley Street,Toronto, ON M5A 2G1,Canada",5.0,5
Rice Box,"Toronto, ON M5V 3V9,Canada",5.0,5
The Cottage Cheese,"64 Oxford Street,Toronto, ON M5T 1P1,Canada",5.0,5
iL Padrino,"579 College Street,Toronto, ON M6G 1B2,Canada",5.0,5
FAM-Food Art Music,"566 Queen Street W,Toronto, ON M5V 2B5,Canada",5.0,5
Protein Chefs,"Toronto, ON M4L 1C9,Canada",5.0,4
Fresh Start Bakery & Cafe,"595 Bay Street,Toronto, ON M5G 1M6,Canada",5.0,4
BOM Bibimbap,"72 Gerrard St W,Toronto, ON M5G 1J5,Canada",5.0,4
El Tenedor,"909 Yonge St,Toronto, ON M4W 2H2,Canada",5.0,4
Jack and Lil's,"684 Saint Clair Avenue W,Toronto, ON M6C 1B1,Canada",5.0,4
The Original's Dining Lounge,"160 Springhurst Avenue,Toronto, ON M6K 1C2,Canada",5.0,4
Simpl Things,"269 Dunn Avenue,Toronto, ON M6K 2S1,Canada",5.0,4
Larry's Folly,"1462 Queen Street W,Toronto, ON M6K 1M2,Canada",5.0,4
The Bartending School of Ontario,"2159 Danforth Avenue,Toronto, ON M4C 1K2,Canada",5.0,4
The Stockyards Grind,"2382 St. Clair Ave W,Toronto, ON M6N 1K8,Canada",5.0,4
Ocak Basi,"4544 Dufferin Street,North York, ON M3H 5X2,Canada",5.0,4
Kebab Kountry,"3750 Lawrence Avenue E,Toronto, ON M1G 1R1,Canada",5.0,4
McGill Inn Bed & Breakfast,"110 McGill Street,Toronto, ON M5B 1H6,Canada",5.0,3
Beverley Place,"226 Beverley Street,Toronto, ON M5T 1Z3,Canada",5.0,3
Y Not Italian!,"538 Manning Ave,Toronto, ON M6G 2V9,Canada",5.0,3
Tong Mein,"639 Queen Street E,Toronto, ON M4M 1G4,Canada",5.0,3
Zitto Zitto Taverna,"593 College Street,Toronto, ON M6G 1B2,Canada",5.0,3
Lechon Republik,"1 Romar Crescent,Unit 2,Toronto, ON M6B 1R7,Canada",5.0,3
The York Club,"135 St. George St,Toronto, ON M5R 2L8,Canada",5.0,2
Kibo Market,"1415 Bloor Street W,Toronto, ON M6P 3L4,Canada",5.0,2
Afro Spice,"45 Four Winds Drive,Toronto, ON M3J 1K7,Canada",5.0,2
Meet Sushi & Boil,"4630 Kingston Road,Unit 9-10,Toronto, ON M1E 4Z4,Canada",5.0,2
Three Kingdoms Pizza,"3 Wellesley Street W,Toronto, ON M4Y 1E8,Canada",5.0,1
Royal Canadian Military Institute,"426 University Avenue,Toronto, ON M5G 1S9,Canada",5.0,1
Clinton's,"693 Bloor Street W,Toronto, ON M6G 1L5,Canada",5.0,1
YES Meal: 2 Can Dine 4 9.99 With Aunty Lucy's,"296 Brunswick Ave,Toronto, ON M5S 2M7,Canada",5.0,1
Domino's Pizza,"1131 Queen Street E,Toronto, ON M4M 1K9,Canada",5.0,1
Chandelier Dine & Lounge Bar,"1993 Yonge Street,Toronto, ON M4S 1Z8,Canada",5.0,1
Sensorium,"525 King Street W,Toronto, ON M5V,Canada",5.0,1
Hunan,"405 Dundas Street W,Toronto, ON M5T 1G6,Canada",5.0,1
Noble House,"46 Noble Street,Toronto, ON M6K 2C9,Canada",5.0,1
Bar Banane,"227 A Ossington Avenue,Toronto, ON M6J 2Z8,Canada",5.0,1
Feast Your Eyes! Catering and Event Design,"175 Kenilworth Avenue,Toronto, ON M4L 3S7,Canada",5.0,1
Osmow’s,"2583 St Clair Avenue W,Unit 2,Toronto, ON M6N 4Z5,Canada",5.0,1
Church´s Texas Chicken,"845 Jane Street,Toronto, ON M6N 4C4,Canada",5.0,1
Uptown Sports Bar & Grill,"1325 Finch Avenue W,North York, ON M3J 2G6,Canada",5.0,1
J's Bar & Restaurant,"1290 Finch Avenue W,Unit 10,North York, ON M3J 3K3,Canada",5.0,1
Noon Eatery,"3190 Yonge Street,Toronto, ON M4N 2L1,Canada",5.0,1
Villa Borghese Dining Room,"2995 Bloor Street W,Etobicoke, ON M8X 1C1,Canada",5.0,1
Curbside Dogs Diner,"629 Pharmacy Avenue,Scarborough, ON M1L 3H3,Canada",5.0,1
Pai Northern Thai Kitchen,"18 Duncan Street,Toronto, ON M5H 3G8,Canada",4.5,3345
Seven Lives Tacos y Mariscos,"72 Kensington Avenue,Toronto, ON M5T 2K1,Canada",4.5,1459
Banh Mi Boys,"392 Queen Street W,Toronto, ON M5V 2A9,Canada",4.5,1235
Bang Bang Ice Cream,"93A Ossington Avenue,Toronto, ON M6J 2Z2,Canada",4.5,1121
Byblos,"11 Duncan Street,Toronto, ON M5V 3M2,Canada",4.5,891
Ramen Isshin,"421 College Street,Toronto, ON M5T 1T1,Canada",4.5,797
Jacobs & Co. Steakhouse,"12 Brant Street,Toronto, ON M5V 1K4,Canada",4.5,607
Juicy Dumpling,"280 Spadina Ave,Unit M-N,Toronto, ON M5T 0A1,Canada",4.5,597
Sanremo Bakery,"374 Royal York Road,Etobicoke, ON M8Y 2R3,Canada",4.5,519
Katsuya,"66 Gerrard Street E,Unit 100,Toronto, ON M5B 2M2,Canada",4.5,478
Descendant Detroit Style Pizza,"1168 Queen Street E,Toronto, ON M4M 1L5,Canada",4.5,431
Yasu,"81 Harbord Street,Toronto, ON M5S 1G4,Canada",4.5,418
BarChef,"472 Queen Street W,Toronto, ON M5V 2B2,Canada",4.5,403
Steam Whistle Brewing,"255 Bremner Boulevard,Toronto, ON M5V 3M9,Canada",4.5,393
Black Camel,"4 Crescent Road,Toronto, ON M4W 1S9,Canada",4.5,378
Alo Restaurant,"163 Spadina Avenue,3rd Floor,Toronto, ON M5V 2A5,Canada",4.5,332
Scaramouche Restaurant Pasta Bar & Grill,"1 Benvenuto Place,Toronto, ON M4V 2L1,Canada",4.5,328
Rasa,"196 Robert Street,Toronto, ON M5S 2K8,Canada",4.5,318
George Restaurant,"111 Queen Street E,Toronto, ON M5C 1S2,Canada",4.5,292
Mystic Muffin,"113 Jarvis Street,Toronto, ON M5C 2H4,Canada",4.5,291
Cluck Clucks,"222 The Esplanade,Toronto, ON M5A 4M8,Canada",4.5,285
Ikkousha Ramen,"249 Queen Street W,Toronto, ON M5V 1Z4,Canada",4.5,283
Café Polonez,"195 Roncesvalles Avenue,Toronto, ON M6R 2L5,Canada",4.5,283
Aloette,"163 Spadina Avenue,1st Floor,Toronto, ON M5V 2L6,Canada",4.5,279
The Pie Commission,"927 The Queensway,Toronto, ON M8Z 5Z7,Canada",4.5,259
Mira,"420A Wellington Street W,Toronto, ON M5V 1E3,Canada",4.5,258
Sugo,"1281 Bloor Street W,Toronto, ON M6H 1N7,Canada",4.5,249
850 Degrees Pizzeria,"3455 Lakeshore Boulevard W,Etobicoke, ON M8W 1N2,Canada",4.5,249
La Bella Managua,"872 Bloor Street W,Toronto, ON M6G 1M5,Canada",4.5,246
Hodo Kwaja,"656 Bloor Street W,Toronto, ON M6G 1K9,Canada",4.5,240
Saigon Lotus,"6 St Andrew Street,Toronto, ON M5T 1K6,Canada",4.5,209
Agio,"1351 St Clair Avenue W,Toronto, ON M6E 1C5,Canada",4.5,188
Sala Modern Thai Kitchen & Bar,"1262 Danforth Avenue,Toronto, ON M4J 1M6,Canada",4.5,188
Her Father's Cider Bar & Kitchen,"119 Harbord Street,Toronto, ON M5S 1G7,Canada",4.5,185
Almond Butterfly Harbord Bakeshop & Cafe,"100 Harbord Street,Toronto, ON M5S 1G6,Canada",4.5,181
Tachi,"111 Richmond Street W,Ground Floor,Assembly Chef's Hall,Toronto, ON M5H 2G4,Canada",4.5,176
The Poke Box,"36 Toronto Street,Toronto, ON M5C 2C5,Canada",4.5,176
The Hole In the Wall,"2867 Dundas Street W,Toronto, ON M6P 1Y9,Canada",4.5,170
Gyubee Japanese Grill - Dundas,"157 Dundas St W,Toronto, ON M5B 1E4,Canada",4.5,169
Completo,"5 Coady Avenue,Toronto, ON M4M 2Y9,Canada",4.5,169
Joso's,"202 Davenport Road,Toronto, ON M5R 1J2,Canada",4.5,165
Loga's Corner,"216C Close Avenue,Toronto, ON M6K 2V5,Canada",4.5,165
New Orleans Seafood & Steakhouse,"267 Scarlett Road,Toronto, ON M6N 4L1,Canada",4.5,162
Summer's Ice Cream,"101 Yorkville Avenue,Toronto, ON M5R 1C1,Canada",4.5,161
Rustle & Still Café,"605 Bloor Street W,Toronto, ON M6G 1K6,Canada",4.5,151
La Banane,"227 Ossington Avenue,Toronto, ON M6J 2Z8,Canada",4.5,151
Delta Hotels by Marriott Toronto,"75 Lower Simcoe Street,Toronto, ON M5J 3A6,Canada",4.5,150
The Caledonian,"856 College Street,Toronto, ON M6H 1A2,Canada",4.5,150
El Nahual Tacos,"556 parliament st,Toronto, ON M5S 1X2,Canada",4.5,147
Imm Thai Kitchen,"651 College Street,Toronto, ON M6G 1B7,Canada",4.5,146
Simone's Caribbean Restaurant,"596 Danforth Avenue,Toronto, ON M4K 1R1,Canada",4.5,144
Buddha's Vegan,"666 Dundas Street W,Toronto, ON M5T 1H9,Canada",4.5,144
Himalayan Kitchen,"1526 Queen Street W,Toronto, ON M6R 1A1,Canada",4.5,143
Pow Wow Cafe,"213 Augusta Avenue,Toronto, ON M5T 2L4,Canada",4.5,142
Holy Cow Japanese Steakhouse,"254 Queen Street  W,Toronto, ON M5V 1Z8,Canada",4.5,142
Beach Hill Smokehouse,"172 Main Street S,Toronto, ON M4E 2W1,Canada",4.5,140
White Lily Diner,"678 Queen Street E,Toronto, ON M4M 1G8,Canada",4.5,139
Honest Weight,"2766 Dundas Street W,Toronto, ON M6P 1Y3,Canada",4.5,135
Isabella's Mochi Donut Boutique,"2066 Queen St East,Toronto, ON M4E 1C9,Canada",4.5,135
Eggstatic,"1568 Bayview Avenue,Toronto, ON M4G 3B7,Canada",4.5,135
Kyouka Ramen,"2222 Queen St E,Toronto, ON M4E 1E9,Canada",4.5,134
Dirty Food Eatery,"3070 Dundas Street W,Toronto, ON M6P 1Z7,Canada",4.5,132
Le Baratin,"1600 Dundas Street. W,Toronto, ON M6K 1T8,Canada",4.5,130
Takht-e Tavoos,"1120 College Street,Toronto, ON M6H 1B5,Canada",4.5,128
Athens Pastries,"509 Danforth Avenue,Toronto, ON M4K 1P5,Canada",4.5,125
Grey Gardens,"199 Augusta Avenue,Toronto, ON M5T 2L4,Canada",4.5,125
Egg Club,"88 Dundas Street E,Toronto, ON M5B 1C9,Canada",4.5,123
Chica's Nashville Hot Chicken,"2853 Dundas Street W,Toronto, ON M6P 2K6,Canada",4.5,123
Souk Tabule,"494 Front Street E,Toronto, ON M5A 1H7,Canada",4.5,121
Banh Mi Boys,"2365 Yonge Street,Toronto, ON M4P 3J6,Canada",4.5,121
Daan Go Cake Lab,"241 Spadina Avenue,Toronto, ON M5T 3A8,Canada",4.5,121
Roti Cuisine of India,"308 Dupont Street,Toronto, ON M5R 1W1,Canada",4.5,118
Momo Hut & Gardens,"401 Danforth Avenue,Danforth,Toronto, ON M4K 1P1,Canada",4.5,117
Cocktail Bar,"923 Dundas St W,Toronto, ON M6J 1W3,Canada",4.5,113
Zezafoun Syrian Cuisine,"4 Manor Road E,Toronto, ON M4S 1P8,Canada",4.5,112
Sushi Run,"3351 Bloor Street W,Toronto, ON M8X 1E9,Canada",4.5,112
Fieramosca,"36A Prince Arthur Avenue,Toronto, ON M5R 1A9,Canada",4.5,110
Sisters & Co,"887 Dundas Street West,Toronto, ON M6J 1V9,Canada",4.5,110
Lageez,"641 Pharmacy Avenue,Toronto, ON M1L 3H3,Canada",4.5,110
Jin Dal Lae,"647 Bloor Street W,Toronto, ON M6G 1L1,Canada",4.5,109
Brock Sandwich,"1260 Bloor Street W,Toronto, ON M6H 1N5,Canada",4.5,109
Leela Indian Food Bar,"3108 Dundas Street W,Toronto, ON M6P 2A1,Canada",4.5,105
Lekker,"237 Augusta Avenue,Toronto, ON M5T 2L8,Canada",4.5,102
Bar Ape,"283 Rushton Rd,Toronto, ON M6C 2X6,Canada",4.5,101
Feast of Dilli,"378 Browns Line,Toronto, ON M8W 3T7,Canada",4.5,100
OEB Breakfast Co.,"125 E Liberty Street,Toronto, ON M6K 3K4,Canada",4.5,95
Lake Inez,"1471 Gerrard Street E,Toronto, ON M4L 2A1,Canada",4.5,92
Tre Mari Bakery,"1311 Saint Clair Avenue W,Toronto, ON M6E 1C2,Canada",4.5,92
Kitten and the Bear,"1414 Dundas Street W,Toronto, ON M6J 1Y5,Canada",4.5,91
Salad House,"13 Hayden Street,Toronto, ON M4W 3T5,Canada",4.5,88
Azarias,"3058 Bloor Street W,Toronto, ON M8X 1C4,Canada",4.5,88
Paldo Gangsan,"694 Bloor Street  W,Toronto, ON M6G 1L4,Canada",4.5,85
Souv Like,"708 Pape Avenue,Toronto, ON M4K 3S7,Canada",4.5,85
Lao Thai Restaurant,"4 Gladstone Avenue,Toronto, ON M6J 3K6,Canada",4.5,85
Cafe Oro Di Napoli,"75 Jarvis Street,Toronto, ON M5C 2H2,Canada",4.5,84
Budapest Restaurant,"2183 Danforth Ave,Toronto, ON M4C 1K4,Canada",4.5,84
Patisserie 27,"401 Jane Street,Toronto, ON M6S 2E2,Canada",4.5,83
Mr Pide,"800 Danforth Avenue,Toronto, ON M4J 1L6,Canada",4.5,82
Daldongnae,"658 Bloor Street,Toronto, ON M6G 1K9,Canada",4.5,81
Islas Filipino BBQ and Bar,"1690 Queen Street W,Toronto, ON M6R 1B3,Canada",4.5,81
El Pocho Antojitos Bar,"2 Follis Avenue,Toronto, ON M6G 1S3,Canada",4.5,80
Eastside Social,"1008 Queen Street E,Toronto, ON M4M 1K1,Canada",4.5,80
Cote De Boeuf,"130 Ossington Avenue,Toronto, ON M6J 2Z5,Canada",4.5,80
Yuugi Izakaya,"49 Baldwin Street,Toronto, ON M5T 1L3,Canada",4.5,79
The Social Blend,"130 Eglinton Avenue E,Toronto, ON M4P 2X9,Canada",4.5,78
J San Sushi Bar,"186 Jarvis Street,Toronto, ON M5B 2B7,Canada",4.5,77
Douce France,"820 Danforth Avenue,Toronto, ON M4J 1L6,Canada",4.5,76
Cabano's Comfort Food,"75 Saint Nicholas Street,Toronto, ON M4Y 0A5,Canada",4.5,75
ImPerfect Fresh Eats,"318 Adelaide Street W,Toronto, ON M5V 1R2,Canada",4.5,72
Zuki Japanese Restaurant,"2030 Eglinton Avenue W,Toronto, ON M6E 2K3,Canada",4.5,72
Torch Pressed Sushi,"507 Church St,Toronto, ON M4Y 2C9,Canada",4.5,71
Lucy Ethiopian Restaurant,"1690 Danforth Avenue,Toronto, ON M4C,Canada",4.5,71
Four Seasons Toronto,"60 Yorkville Avenue,Toronto, ON M4W 0A4,Canada",4.5,70
Cumin Kitchen - Fine Indian Cuisine,"1820 Danforth Avenue,Toronto, ON M4C 1H8,Canada",4.5,70
Chung Chun Rice Dog,"615 Bloor Street W,Toronto, ON M6G 1K8,Canada",4.5,69
Famiglia Baldassarre,"122 Geary Avenue,Toronto, ON M6H 4H1,Canada",4.5,67
Bloom,"596 Yonge street,Toronto, ON M5G 1S4,Canada",4.5,65
Napoli Centrale,"964 Bathurst Street,Toronto, ON M5R 3G5,Canada",4.5,65
Flaming Stove,"21 Davisville Avenue,Toronto, ON M4S 1G3,Canada",4.5,65
Rise & Dine Eatery,"2714 St. Clair Avenue E,Toronto, ON M4B 1M6,Canada",4.5,65
Gingerman Restaurant,"1104 Victoria Park Avenue,Toronto, ON M4B 2K3,Canada",4.5,65
CANO Restaurant,"1108 St Clair Avenue W,Toronto, ON M6E 1A7,Canada",4.5,64
Burger Drops,"116 Atlantic Ave,Toronto, ON M6K 1X9,Canada",4.5,64
Pizzeria Badiali,"181 Dovercourt Road,Toronto, ON M6J 3C6,Canada",4.5,64
Her Chef,"599 Bloor Street W,Toronto, ON M6G 1K5,Canada",4.5,62
CrowdedHouse,"1161 Queen Street E,Toronto, ON M4M 1L3,Canada",4.5,62
La Chilaca Taqueria,"214 Augusta Avenue,Toronto, ON M5T 2L6,Canada",4.5,62
Chen Chen’s Nashville Hot Chicken,"1184 Queen Street W,Toronto, ON M6J 1J5,Canada",4.5,62
Remarkable Bean,"2242 Queen Street E,Toronto, ON M4E 1G2,Canada",4.5,62
Conspiracy Pizza,"858 Eglinton Avenue E,Toronto, ON M4G 2B6,Canada",4.5,60
Bulldog Coffee,"89 Granby Street,Toronto, ON M5B 1H9,Canada",4.5,60
La Chingada,"1242 Dundas Street West,Toronto, ON M6J 1X5,Canada",4.5,59
Kovalsky Restaurant,"667 The Queensway,Toronto, ON M8Y 1K8,Canada",4.5,59
Nodo Restaurant,"794 Saint Clair Avenue W,Toronto, ON M6C 1B6,Canada",4.5,58
Zaad,"348 Bloor Street West,Toronto, ON M5S 1W9,Canada",4.5,58
A La Turk,"3443 Yonge Street,Toronto, ON M4N 2N1,Canada",4.5,58
Wynona,"819 Gerrard Street E,Toronto, ON M4M 1Y8,Canada",4.5,57
Itacate,"998 St. Clair Avenue W,Toronto, ON M6E 1A2,Canada",4.5,56
Tuckshop Kitchen,"1640 Dupont Street,Unit 3,Toronto, ON M6P 3T2,Canada",4.5,56
Hokkaido Ramen Santouka,"2057 Yonge St,Toronto, ON M4S 2A2,Canada",4.5,56
Banh Mi Ba Le,"538 Dundas Street West,Toronto, ON M5T 1H3,Canada",4.5,56
Umami Poke,"1252 Yonge Street,Toronto, ON M4T 1W5,Canada",4.5,55
Le Germain Hotel,"30 Mercer Street,Toronto, ON M5V 1H3,Canada",4.5,55
Marvelous by Fred,"224 Queen Street W,Toronto, ON M5V 1Z6,Canada",4.5,55
Chiang Mai,"171 E Liberty St,Unit 144,Toronto, ON M6K 3P6,Canada",4.5,54
Barista & Chef,"1006 Saint Clair Avenue W,Toronto, ON M6E 1A2,Canada",4.5,53
Saigon PAI,"446 Parliament Street,Toronto, ON M5A 3A2,Canada",4.5,53
Zakkushi on Queen West,"620 Queen Street W,Toronto, ON M6J 1E4,Canada",4.5,53
Mabu Generation,"575 Yonge Street,Toronto, ON M4Y 1Z3,Canada",4.5,51
Le Beau,"665 Dundas Street E,Toronto, ON M5A 2C1,Canada",4.5,51
Le Swan,"892 Queen St W,Toronto, ON M6J 1G3,Canada",4.5,51
Maya’s halal pizza and grill ,"1555 O'Connor Drive,Toronto, ON M4B 2V5,Canada",4.5,49
Shawarma Frenzy,"1011 Pape Avenue,East York, ON M4K 3V8,Canada",4.5,48
The SoHo Hotel  & Residences,"318 Wellington St W,Toronto, ON M5V 3T4,Canada",4.5,48
Garleek Kitchen,"1500 Queen Street W,Toronto, ON M6R 1A4,Canada",4.5,48
FK,"770 St Clair Avenue W,Toronto, ON M6C 1B5,Canada",4.5,47
Yelp Elite Experience: Syrian Feast with Mooring Eats,"2481 Lake Shore Blvd W,Toronto, ON M8V 1C5,Canada",4.5,47
P & M Restaurant,"1946 Weston Road,Toronto, ON M9N 1W2,Canada",4.5,47
Rush Hour,"1438A Dufferin Street,Toronto, ON M6H 3L1,Canada",4.5,46
Good Behaviour,"342 Westmoreland Avenue N,Toronto, ON M6H 3A7,Canada",4.5,46
Maya Bay Thai,"252 Carlton Street,Toronto, ON M5A 2L3,Canada",4.5,46
Pomarosa Coffee Shop & Kitchen,"1504 Danforth Avenue,Toronto, ON M4J 1N4,Canada",4.5,46
Kitchen On Sixth,"2976 Lake Shore Boulevard W,Toronto, ON M8V 1J9,Canada",4.5,46
The Sushi Bar,"3365 Yonge Street,Toronto, ON M4N 2M4,Canada",4.5,46
Wallace Espresso,"188 Wallace Avenue,Toronto, ON M6H 1V6,Canada",4.5,45
Balsamico Ristorante,"2029 Yonge St,Toronto, ON M4S 2A2,Canada",4.5,45
The Done Right Inn,"861 Queen St W,Toronto, ON M6J 1G4,Canada",4.5,45
Tea N Bannock,"1294 Gerrard Street E,Toronto, ON M4L 1Y7,Canada",4.5,44
Baguette & Co,"2772 Dundas St W,Toronto, ON M6P 1Y3,Canada",4.5,44
Krazy Roll,"84 Marine Parade Drive,Toronto, ON M8V 0B7,Canada",4.5,44
Bonimi,"3319 Bloor Street  W,Toronto, ON M8X 1E7,Canada",4.5,44
Mogouyan Hand-Pulled Noodles,"124 Dundas St W,Toronto, ON M5G 1C3,Canada",4.5,43
Le Germain Hotel Toronto Maple Leaf Square,"75 Bremner Boulevard,Toronto, ON M5J 0A1,Canada",4.5,43
Papyrus,"337 Danforth Avenue,Toronto, ON M4K 1N7,Canada",4.5,43
The Monkey Bar,"3353 Yonge Street,Toronto, ON M4N 2M6,Canada",4.5,43
Yukashi Japanese Cuisine,"643A Mount Pleasant Road,Toronto, ON M4S 2M9,Canada",4.5,42
Latin Taste,"200 Baldwin Street,Toronto, ON M5T 1L8,Canada",4.5,42
Mother Cocktail Bar,"874 Queen Street W,Toronto, ON M6J 1G3,Canada",4.5,42
Hype Food,"1060 Gerrard St E,Toronto, ON M4M 1Z8,Canada",4.5,41
Yuzuki,"120 Bloor Street E,Unit 104,Toronto, ON M4Y 0B8,Canada",4.5,40
Hotel X Toronto by Library Hotel Collection,"111 Princes' Boulevard,Toronto, ON M6K 3C3,Canada",4.5,40
The Bulging Burger,"2459 Queen Street  E,Toronto, ON M4E 1H7,Canada",4.5,39
Mooring Eats,"2481 Lake Shore Boulevard W,Toronto, ON M8V 1C5,Canada",4.5,39
Toronto Blue Jays,"1 Blue Jays Way,Toronto, ON M5V 1J3,Canada",4.5,39
Lait Night,"81 Huron Street,Toronto, ON M5T 2A8,Canada",4.5,38
Ave Maria Latin Café,"631 Bloor Street W,Toronto, ON M6G 1K8,Canada",4.5,38
Whelan's Gate Gastropub,"1663 Bloor Street W,Toronto, ON M6P 1A6,Canada",4.5,38
Raj Mahal Indian Cuisine,"1881 Steeles Avenue W,Dufferin Corners,Toronto, ON M3H 5Y4,Canada",4.5,38
FET ZUN,"252 Dupont St,Toronto, ON M5R 1V7,Canada",4.5,37
Haute Coffee,"153 Dupont Street,Toronto, ON M5R 1V5,Canada",4.5,37
Kiyo,"1384 Bathurst Street,Toronto, ON M5R 3J1,Canada",4.5,36
Luna Junction,"2800 Dundas St W,Toronto, ON M6P 1Y5,Canada",4.5,36
Vos Restaurante Argentino,"847 College st,toronto, ON M6H 1A1,Canada",4.5,36
Limon,"1968 Queen Street E,Toronto, ON M4L 1H8,Canada",4.5,36
Fearless Meat,"884 Kingston Road,Toronto, ON M4E 1S3,Canada",4.5,36
1 Kitchen,"550 Wellington Street W,1 Hotel,Toronto, ON M5V 2V4,Canada",4.5,35
Herby Restaurant,"397 Danforth Ave,Toronto, ON M4K 1P1,Canada",4.5,35
City Fried Chicken and Pizza,"990 Danforth Avenue,Toronto, ON M4J 1L9,Canada",4.5,35
FAMO Sandwiches,"122 Sherbourne Street,Toronto, ON M5A,Canada",4.5,34
Reverie at The Park,"569 College Street,Toronto, ON M6G 1B2,Canada",4.5,34
My Roti Place,"901 King Street West,Toronto, ON M5V 3H5,Canada",4.5,34
Olive Kebab Restaurant,"2836 Lake Shore Boulevard W,Toronto, ON M8V 2Y6,Canada",4.5,34
Soya Mandarin Kitchen,"31 Baldwin Street,Toronto, ON M5T 1L1,Canada",4.5,33
Don Alfonso 1890,"1 Harbour Square,Floor 38,Westin Harbour Castle,Toronto, ON M5J 1A6,Canada",4.5,33
Happy Burger,"76 Lippincott Street,Toronto, ON M5S 2P1,Canada",4.5,33
The Captain's Boil,"2655 Yonge St,Toronto, ON M4P 2J6,Canada",4.5,33
Cafe Cocoro,"1989 Danforth Avenue,Toronto, ON M4C 1J7,Canada",4.5,33
Scollard Variety & Deli,"105 Scollard Street,Toronto, ON M5R 1G4,Canada",4.5,32
The Hazelton Hotel,"118 Yorkville Avenue,Toronto, ON M5R 1C2,Canada",4.5,32
SugarKane,"699 Danforth Avenue,Toronto, ON M4J 1L2,Canada",4.5,32
The Four Seven,"1211 Bloor Street  W,Toronto, ON M6H 1N4,Canada",4.5,32
Cabin Fever,"1669 Bloor Street W,Toronto, ON M6P 1A6,Canada",4.5,32
Flame Food+Design,"2197 Bloor Street W,Toronto, ON M6S 1N2,Canada",4.5,32
