uid,name,longitude,latitude,free_bikes,empty_slots
7303,Queen St E / Woodward Ave,-79.319796,43.665269,17,1
7301,Primrose Ave / Davenport Rd,-79.445947,43.67142,14,1
7309,Queen St. E / Rhodes Ave.,-79.317693,43.666224,3,20
7045,Bond St / Queen St E,-79.376716,43.653236,11,14
7044,Church St / Alexander St,-79.380288,43.663722,7,8
7047,University Ave / Gerrard St W (East Side),-79.389165,43.657763,16,9
7041,Edward St / Yonge St,-79.382736,43.656729,17,5
7040,Euclid Ave / Bloor St W,-79.414783,43.664467,5,14
7128,Yonge St / Aylmer Ave,-79.388858,43.675492,10,5
7129,Davenport Rd / Avenue Rd,-79.396273,43.674991,1,10
7126,Yonge St / Yorkville Ave,-79.387778,43.671944,2,15
7124,Dundas St E / Broadview Ave,-79.351104,43.662365,8,9
7048,Front St W / Yonge St (Hockey Hall of Fame),-79.377962,43.646144,43,4
7120,Gerrard St E / River St,-79.358534,43.663993,9,1
7121,Jarvis St / Dundas St E,-79.374756,43.657266,3,22
7346,Logan Av / Gerrard St E,-79.3452697,43.6672144,10,5
7347,Regal Rd / Dufferin St,-79.441159,43.673939,4,11
7342,Morse St / Eastern Ave,-79.340075,43.657991,5,6
7343,Alton Ave / Dundas St E (Greenwood Park),-79.329408,43.66745,17,6
7340,Blake St / Boultbee Ave,-79.338259,43.672453,2,13
7341,Eastern Ave / Winnifred Ave,-79.3348396,43.6592088,12,2
7349,Gamble Ave / Broadview Ave,-79.35438,43.689211,5,18
7269,Toronto Eaton Centre (Yonge St),-79.380653,43.655431,5,7
7268,111 Bond St (North of Dundas St E)  - SMART,-79.378497,43.656927,9,7
7265,Wallace Ave / Symington Ave - SMART,-79.449534,43.661324,10,2
7267,Dundas St E / Pembroke St - SMART,-79.372346,43.658295,1,15
7266,Victoria Park Subway Station - SMART,-79.2889842,43.6940155,16,4
7262,Wychwood Ave / Benson Ave - SMART,-79.4229684,43.6809164,6,10
7379,Lawton Blvd / Yonge St,-79.39535,43.6910667,9,3
7378,Yonge St / Davisville Ave,-79.39654,43.6975969,1,14
7000,Fort York  Blvd / Capreol Ct,-79.395954,43.639832,6,25
7003,Madison Ave / Bloor St W,-79.402761,43.667158,3,12
7002,St. George St / Bloor St W,-79.399429,43.667333,8,9
7005,King St W / York St,-79.383177,43.6480008,16,7
7004,University Ave / Elm St,-79.389099,43.656518,1,10
7007,College St / Huron St,-79.398167,43.658148,4,14
7279,Rosehill Ave / Avoca Ave - SMART,-79.38906,43.687999,6,9
