uid,name,longitude,latitude,free_bikes,empty_slots,entertainment,education,dining,park,shopping,metro_station,library,financial
7303,Queen St E / Woodward Ave,-79.319796,43.665269,17,1,7,6,48,8,36,0,1,2
7301,Primrose Ave / Davenport Rd,-79.445947,43.67142,14,1,2,8,46,4,55,0,2,5
7309,Queen St. E / Rhodes Ave.,-79.317693,43.666224,3,20,7,5,42,8,37,0,1,1
7045,Bond St / Queen St E,-79.376716,43.653236,11,14,72,88,434,29,392,9,11,128
7044,Church St / Alexander St,-79.380288,43.663722,7,8,34,58,369,22,331,3,12,62
7047,University Ave / Gerrard St W (East Side),-79.389165,43.657763,16,9,59,89,495,31,451,5,21,109
7041,Edward St / Yonge St,-79.382736,43.656729,17,5,69,87,473,32,418,5,13,114
7040,Euclid Ave / Bloor St W,-79.414783,43.664467,5,14,19,28,179,6,104,1,3,15
7128,Yonge St / Aylmer Ave,-79.388858,43.675492,10,5,64,116,193,16,306,0,8,47
7129,Davenport Rd / Avenue Rd,-79.396273,43.674991,1,10,64,121,198,16,306,0,9,42
7126,Yonge St / Yorkville Ave,-79.387778,43.671944,2,15,70,116,228,21,325,0,13,52
7124,Dundas St E / Broadview Ave,-79.351104,43.662365,8,9,8,17,67,19,65,0,2,10
7048,Front St W / Yonge St (Hockey Hall of Fame),-79.377962,43.646144,43,4,83,69,389,35,327,6,8,122
7120,Gerrard St E / River St,-79.358534,43.663993,9,1,7,16,77,11,70,0,3,9
7121,Jarvis St / Dundas St E,-79.374756,43.657266,3,22,54,77,393,28,400,3,9,96
7346,Logan Av / Gerrard St E,-79.3452697,43.6672144,10,5,5,14,82,14,72,0,3,15
7347,Regal Rd / Dufferin St,-79.441159,43.673939,4,11,3,8,48,3,61,0,1,6
7342,Morse St / Eastern Ave,-79.340075,43.657991,5,6,8,13,76,10,63,0,2,6
7343,Alton Ave / Dundas St E (Greenwood Park),-79.329408,43.66745,17,6,7,11,83,6,71,0,2,6
7340,Blake St / Boultbee Ave,-79.338259,43.672453,2,13,4,12,74,7,74,1,2,13
7341,Eastern Ave / Winnifred Ave,-79.3348396,43.6592088,12,2,6,11,51,12,52,0,1,6
7349,Gamble Ave / Broadview Ave,-79.35438,43.689211,5,18,2,6,19,3,16,0,1,2
7269,Toronto Eaton Centre (Yonge St),-79.380653,43.655431,5,7,79,96,492,32,425,5,11,136
7268,111 Bond St (North of Dundas St E)  - SMART,-79.378497,43.656927,9,7,63,88,454,30,400,5,11,112
7265,Wallace Ave / Symington Ave - SMART,-79.449534,43.661324,10,2,4,7,49,3,64,0,1,5
7267,Dundas St E / Pembroke St - SMART,-79.372346,43.658295,1,15,48,70,319,33,366,3,7,70
7266,Victoria Park Subway Station - SMART,-79.2889842,43.6940155,16,4,2,6,18,1,30,0,1,5
7262,Wychwood Ave / Benson Ave - SMART,-79.4229684,43.6809164,6,10,3,9,44,6,41,1,2,5
7379,Lawton Blvd / Yonge St,-79.39535,43.6910667,9,3,3,17,30,2,39,1,1,12
7378,Yonge St / Davisville Ave,-79.39654,43.6975969,1,14,2,33,65,3,55,2,1,12
7000,Fort York  Blvd / Capreol Ct,-79.395954,43.639832,6,25,46,16,290,21,163,1,2,48
7003,Madison Ave / Bloor St W,-79.402761,43.667158,3,12,70,128,181,12,246,0,15,35
7002,St. George St / Bloor St W,-79.399429,43.667333,8,9,68,134,197,13,276,0,16,42
7005,King St W / York St,-79.383177,43.6480008,16,7,96,82,530,33,421,8,8,138
7004,University Ave / Elm St,-79.389099,43.656518,1,10,64,92,562,26,487,5,19,124
7007,College St / Huron St,-79.398167,43.658148,4,14,27,50,377,14,212,2,17,46
7279,Rosehill Ave / Avoca Ave - SMART,-79.38906,43.687999,6,9,3,17,33,3,39,0,1,9
7175,HTO Park (Queens Quay W),-79.387502,43.63796,1,25,41,12,195,21,82,4,1,27
7174,Bloor St W / Dundas St W,-79.45166666666667,43.6563889,14,1,4,11,49,3,71,0,1,4
7176,Bathurst St / Fort York Blvd,-79.399595,43.639179,10,9,31,13,239,21,152,1,1,28
7171,Ontario Place Blvd / Lake Shore Blvd W,-79.4108105,43.6322445,10,17,19,4,39,7,29,0,1,5
7170,Spadina Ave / Willcocks St,-79.40138888888889,43.6616667,6,9,27,64,343,12,226,0,17,34
7173,Cariboo St / Rail Path,-79.45833333333334,43.66666667,6,13,7,13,52,4,64,0,3,3
7178,Dundas St W / Edna Ave,-79.452559,43.657192,4,10,4,14,54,1,73,0,1,5
7078,College St / Major St,-79.4032,43.6576,9,6,26,43,376,13,240,0,15,30
7079,McGill St / Church St,-79.379052,43.660694,5,12,50,68,359,29,383,5,12,75
7075,Queens Quay W / Dan Leckie Way,-79.395854,43.636533,24,2,27,11,139,20,47,0,2,16
7076,York St / Queens Quay W,-79.380464,43.640132,31,23,54,27,240,18,116,4,2,68
7077,College Park South,-79.382767,43.659777,6,13,55,77,360,34,343,5,16,81
7070,25 York St â Union Station South,-79.380414,43.643667,7,3,73,55,369,27,219,4,5,105
7071,161 Bleecker St (South of Wellesley),-79.373327,43.666233,11,12,20,34,189,17,162,1,5,34
7073,Spadina Ave / Fort York Blvd,-79.393249,43.640114,4,15,50,23,316,20,172,3,2,62
7188,Exhibition GO (Atlantic Ave),-79.4197222222222,43.6366666666667,18,5,24,11,96,7,93,0,0,7
7189,Augusta Ave / Denison Sq,-79.4016759,43.653766,9,5,28,38,463,12,334,0,8,43
7180,Lansdowne Subway Station,-79.443054,43.6587734,9,14,4,11,66,5,110,0,2,6
7181,Lansdowne Ave / Whytock Ave,-79.4413888888889,43.6538888888889,7,8,7,16,75,2,118,0,3,7
7182,Sterling Rd / Dundas St W,-79.4430555555556,43.6508333333333,3,15,4,12,65,3,115,0,2,5
7183,St Clarens Ave / College St,-79.43868,43.651238,11,3,6,12,73,2,120,0,3,6
7184,Ossington Ave / College St,-79.422634,43.6544915,7,4,17,12,166,4,123,1,2,9
7221,High Park Subway Station,-79.4655296,43.6543604,10,1,3,9,23,2,27,0,4,3
7220,Lake Shore Blvd W / Ellis Ave,-79.465083,43.635932,8,10,1,0,2,10,2,0,0,0
7223,Parkside Dr / Bloor St W - SMART,-79.460053,43.654501,9,2,3,8,31,2,45,0,1,3
7222,Sunnyside - Gus Ryder Pool,-79.454823,43.637894,20,7,4,5,16,9,23,0,3,1
7225,Lake Shore Blvd W / Windermere Ave,-79.467763,43.634896,8,10,1,0,3,8,4,0,0,0
7224,Bloor St W / High Park Ave (High Park),-79.4650569,43.6535269,16,7,3,9,21,3,26,0,1,3
7227,Martin Goodman Trail (Marilyn Bell Park),-79.4304,43.6314,15,16,14,6,37,1,44,0,0,2
7226,Lake Shore Blvd W / The Boulevard Club,-79.444966,43.636731,8,11,4,4,34,7,50,0,2,2
7229,Dundas St W / Roncesvalles Green P - SMART,-79.4512787,43.6534268,3,9,5,12,45,1,71,0,2,5
7380,Erskine Ave / Yonge St SMART,-79.39894,43.7112153,4,12,10,27,105,5,112,1,3,23
7386,D'Arcy St / McCaul St - SMART,-79.39201,43.655227,10,5,60,86,602,30,477,5,16,128
7387,Mortimer Ave / Carlaw Ave SMART,-79.34962,43.685167,3,9,11,9,90,3,80,1,2,6
7384,Cumberland Ave / Bay St SMART,-79.39014,43.6704537,4,5,73,122,241,22,324,0,14,54
7385,20 Charles St E,-79.38551,43.6691099,2,19,73,121,249,25,339,1,15,61
7122,Niagara St / Tecumseth St,-79.404444,43.641389,2,12,25,15,233,18,209,0,1,26
7123,424 Wellington St W,-79.396649,43.643834,4,11,59,27,386,27,252,2,4,58
